Toidu nimetus,Valmistamise keerukus (1-5),Valmistamise aeg minutites,Vajab kuumtöötlemist,Portsjoneid,Vegan,Taimetoit,Gluteenivaba,Laktoosivaba,Loomaliha,Sealiha,Kanaliha,Kala/mereannid
Paprika-fenkolisalat,3,20,Ei,4,Jah,Jah,Jah,Jah,Ei,Ei,Ei,Ei
Läätsesalat,4,30,Jah,4,Jah,Jah,Jah,Jah,Ei,Ei,Ei,Ei
Wakame-nuudlisalat,5,20,Jah,6,Jah,Jah,Jah,Jah,Ei,Ei,Ei,Ei
Kaalika-puuviljasalat,3,15,Ei,4,Jah,Jah,Jah,Jah,Ei,Ei,Ei,Ei
Muna-sibulasalat,3,20,Jah,4,Ei,Jah,Jah,Ei,Ei,Ei,Ei,Ei
Avokaadosalat,4,20,Ei,4,Jah,Jah,Jah,Jah,Ei,Ei,Ei,Ei
Hapukapsasupp,3,40,Jah,4,Ei,Ei,Jah,Jah,Jah,Ei,Ei,Ei
Kalkunikiusatus,4,60,Jah,4,Ei,Ei,Jah,Ei,Jah,Ei,Ei,Ei
Mesine pardipraad,5,150,Jah,4,Ei,Ei,Jah,Jah,Jah,Ei,Ei,Ei
Peekoniporgandid,5,35,Jah,2,Ei,Ei,Jah,Jah,Ei,Jah,Ei,Ei
